date,open,high,low,close,gdelt_sentiment
2014-05-28,1.3634,1.3637,1.3587,1.3592,-0.09555212035775185
2014-05-29,1.3591,1.3624,1.3587,1.3601,0.26128212610880536
2014-05-30,1.3601,1.3647,1.3597,1.3634,-0.2201082408428192
2014-06-02,1.3629,1.3635,1.3588,1.3597,-0.019304237328469753
2014-06-03,1.3596,1.3646,1.3593,1.3626,0.010391466319561005
2014-06-04,1.3626,1.3636,1.3596,1.36,-0.2979506676395734
2014-06-05,1.36,1.3666,1.3506,1.3663,-0.007860172539949417
2014-06-06,1.3663,1.3674,1.362,1.3641,-0.5464973573883375
2014-06-09,1.3645,1.3668,1.3582,1.3592,-0.006738306023180485
2014-06-10,1.3591,1.36,1.3534,1.3546,-0.2320337767402331
2014-06-11,1.3545,1.3556,1.3521,1.3534,-0.44551664870232344
2014-06-12,1.3534,1.3571,1.3512,1.3549,-0.2984689113994439
2014-06-13,1.355,1.3578,1.3521,1.3539,-0.038860760629177094
2014-06-16,1.3538,1.3578,1.3513,1.3572,-0.38105568941682577
2014-06-17,1.3571,1.3586,1.3535,1.3545,-0.025399433448910713
2014-06-18,1.3546,1.3595,1.354,1.3589,-0.5747136312226454
2014-06-19,1.3587,1.3642,1.3582,1.3606,-0.0027534253895282745
2014-06-20,1.3606,1.3633,1.3564,1.36,-0.31842649877071383
2014-06-23,1.3595,1.3612,1.3575,1.3604,-0.15729787200689316
2014-06-24,1.3604,1.3627,1.3583,1.3603,-0.32488003373146057
2014-06-25,1.3602,1.3649,1.36,1.363,-0.040968216583132745
2014-06-26,1.363,1.3641,1.3577,1.3612,-0.8304346650838852
2014-06-27,1.3611,1.3649,1.3609,1.3647,-0.1809742534533143
2014-06-30,1.3644,1.3695,1.364,1.3692,-0.20061866473406553
2014-07-01,1.3693,1.3696,1.3675,1.3679,-0.30777112270394963
2014-07-02,1.3679,1.3681,1.3642,1.3657,-0.0523277759552002
2014-07-03,1.3656,1.3663,1.3598,1.3609,-0.3688158206641674
2014-07-04,1.3608,1.3611,1.3585,1.3596,-0.2761945227781932
2014-07-07,1.3593,1.3609,1.3575,1.3606,-0.13622060045599937
